id,name_ja,name_zh_cn,name_en,aliases,parentOrganizationId,status
series_s1_414,新人NO.1STYLE,,,新人NO.1 STYLE,maker_s1,active
series_ideapocket_1011,うちの妻を犯して下さい,,,,maker_ideapocket,active
series_ideapocket_863,死ぬほど大嫌いな上司とまさかの相部屋に,,,,maker_ideapocket,active
series_ideapocket_939,見つめる愛情イラマチオ,,,,maker_ideapocket,active
series_moodyz_3519,W CAST,,W CAST,,maker_moodyz,active
series_moodyz_3562,聖水痴女ハーレム,,,,maker_moodyz,active
series_moodyz_3489,聖水くらぶ,,,,maker_moodyz,active
series_madonna_1749,夫の上司に飾られた　人妻ボディアクセサリー,,,,maker_madonna,active
series_madonna_1891,廃業寸前,,,,maker_madonna,active
