状态,来源名称,页面分类,来源分区,来源ID,候选目标,审核决定,目标ID,审核备注,来源URL
尚未映射,企劃物,其他 (other),uncensored,uncensored:1z,,,,,https://www.javbus.com/uncensored/genre/1z
尚未映射,寝取り･寝取られ,其他 (other),censored,censored:is,,,,,https://www.javbus.com/genre/is
尚未映射,清楚,其他 (other),censored,censored:i6 | censored:jo,,,,,https://www.javbus.com/genre/i6 | https://www.javbus.com/genre/jo
尚未映射,人氣系列,其他 (other),uncensored,uncensored:2d,,,,,https://www.javbus.com/uncensored/genre/2d
尚未映射,三十路,其他 (other),censored,censored:hz,,,,,https://www.javbus.com/genre/hz
尚未映射,生挿入,其他 (other),censored,censored:gk,,,,,https://www.javbus.com/genre/gk
尚未映射,手マン,其他 (other),censored,censored:im,,,,,https://www.javbus.com/genre/im
尚未映射,首次作品,其他 (other),uncensored,uncensored:40,,,,,https://www.javbus.com/uncensored/genre/40
尚未映射,書籍版,其他 (other),censored,censored:g3,,,,,https://www.javbus.com/genre/g3
尚未映射,四十路,其他 (other),censored,censored:i7,,,,,https://www.javbus.com/genre/i7
尚未映射,湯,其他 (other),censored,censored:hl,,,,,https://www.javbus.com/genre/hl
尚未映射,童貞モノ,其他 (other),censored,censored:ha,,,,,https://www.javbus.com/genre/ha
尚未映射,外国人,其他 (other),censored,censored:gm | censored:k6,,,,,https://www.javbus.com/genre/gm | https://www.javbus.com/genre/k6
尚未映射,玩具責め,其他 (other),censored,censored:ff,,,,,https://www.javbus.com/genre/ff
尚未映射,妄想族,其他 (other),censored,censored:f5,,,,,https://www.javbus.com/genre/f5
尚未映射,五十路,其他 (other),censored,censored:i3,,,,,https://www.javbus.com/genre/i3
尚未映射,下午,其他 (other),uncensored,uncensored:io,,,,,https://www.javbus.com/uncensored/genre/io
尚未映射,写真集,其他 (other),censored,censored:g2,,,,,https://www.javbus.com/genre/g2
尚未映射,性教育,其他 (other),censored,censored:ip,,,,,https://www.javbus.com/genre/ip
尚未映射,羞恥・辱め,其他 (other),censored,censored:i0,,,,,https://www.javbus.com/genre/i0
尚未映射,顔面騎乗位,其他 (other),censored,censored:gv,,,,,https://www.javbus.com/genre/gv
尚未映射,野球拳,其他 (other),censored,censored:hq,,,,,https://www.javbus.com/genre/hq
尚未映射,椅子,其他 (other),uncensored,uncensored:102,,,,,https://www.javbus.com/uncensored/genre/102
尚未映射,淫語責め,其他 (other),censored,censored:gn,,,,,https://www.javbus.com/genre/gn
尚未映射,淫語モノ,其他 (other),censored,censored:if,,,,,https://www.javbus.com/genre/if
尚未映射,着物・浴衣,其他 (other),censored,censored:i5,,,,,https://www.javbus.com/genre/i5
尚未映射,総集編・ベスト,其他 (other),censored,censored:jh,,,,,https://www.javbus.com/genre/jh
尚未映射,最佳合集,其他 (other),uncensored,uncensored:gre143,,,,,https://www.javbus.com/uncensored/genre/gre143
尚未映射,AI生成作品,其他 (other),censored,censored:ka,,,,,https://www.javbus.com/genre/ka
尚未映射,CD,其他 (other),censored,censored:gj,,,,,https://www.javbus.com/genre/gj
尚未映射,Dカップ,其他 (other),censored,censored:ij,,,,,https://www.javbus.com/genre/ij
尚未映射,Eカップ,其他 (other),censored,censored:it,,,,,https://www.javbus.com/genre/it
尚未映射,Fカップ,其他 (other),censored,censored:iu,,,,,https://www.javbus.com/genre/iu
尚未映射,Gカップ,其他 (other),censored,censored:ib,,,,,https://www.javbus.com/genre/ib
尚未映射,HowTo,其他 (other),censored,censored:iq,,,,,https://www.javbus.com/genre/iq
尚未映射,Hカップ,其他 (other),censored,censored:j5,,,,,https://www.javbus.com/genre/j5
尚未映射,KTV,其他 (other),uncensored,uncensored:1dg,,,,,https://www.javbus.com/uncensored/genre/1dg
尚未映射,M女,其他 (other),censored,censored:el,,,,,https://www.javbus.com/genre/el
尚未映射,MGS限定特典映像,其他 (other),censored,censored:ir,,,,,https://www.javbus.com/genre/ir
尚未映射,MGSだけの特典映像付,其他 (other),censored,censored:jf,,,,,https://www.javbus.com/genre/jf
尚未映射,PICKUP素人,其他 (other),censored,censored:j9,,,,,https://www.javbus.com/genre/j9
尚未映射,SM拘束,其他 (other),censored,censored:g4,,,,,https://www.javbus.com/genre/g4
尚未映射,Tシャツ,其他 (other),censored,censored:ga,,,,,https://www.javbus.com/genre/ga
尚未映射,VIP,其他 (other),uncensored,uncensored:16,,,,,https://www.javbus.com/uncensored/genre/16
尚未映射,アナルセックス（男の娘）,其他 (other),censored,censored:kc,,,,,https://www.javbus.com/genre/kc
尚未映射,アナルファック,其他 (other),censored,censored:go,,,,,https://www.javbus.com/genre/go
尚未映射,エステ・マッサージ,其他 (other),censored,censored:ia,,,,,https://www.javbus.com/genre/ia
尚未映射,エマニエル,其他 (other),censored,censored:f4,,,,,https://www.javbus.com/genre/f4
尚未映射,お掃除フェラ,其他 (other),censored,censored:fl,,,,,https://www.javbus.com/genre/fl
尚未映射,オイル・ローション,其他 (other),censored,censored:ja,,,,,https://www.javbus.com/genre/ja
尚未映射,オイルプレイ,其他 (other),censored,censored:gq,,,,,https://www.javbus.com/genre/gq
尚未映射,オナホール,其他 (other),censored,censored:gc,,,,,https://www.javbus.com/genre/gc
尚未映射,カップホール,其他 (other),censored,censored:gd,,,,,https://www.javbus.com/genre/gd
尚未映射,グッズ,其他 (other),censored,censored:g9,,,,,https://www.javbus.com/genre/g9
尚未映射,くびれ,其他 (other),censored,censored:jy,,,,,https://www.javbus.com/genre/jy
尚未映射,ショートカット,其他 (other),censored,censored:jm,,,,,https://www.javbus.com/genre/jm
尚未映射,ショートヘア,其他 (other),censored,censored:ix,,,,,https://www.javbus.com/genre/ix
尚未映射,ショートヘアー,其他 (other),censored,censored:i4 | censored:k7,,,,,https://www.javbus.com/genre/i4 | https://www.javbus.com/genre/k7
尚未映射,スチュワーデス・CA,其他 (other),censored,censored:ii,,,,,https://www.javbus.com/genre/ii
尚未映射,ソープ,其他 (other),censored,censored:ht,,,,,https://www.javbus.com/genre/ht
尚未映射,チラリズム,其他 (other),censored,censored:g1,,,,,https://www.javbus.com/genre/g1
尚未映射,デカチン,其他 (other),censored,censored:gx,,,,,https://www.javbus.com/genre/gx
尚未映射,デリヘル,其他 (other),censored,censored:h8,,,,,https://www.javbus.com/genre/h8
尚未映射,ドラッグ・媚薬,其他 (other),censored,censored:id,,,,,https://www.javbus.com/genre/id
尚未映射,ドリンク,其他 (other),censored,censored:hx,,,,,https://www.javbus.com/genre/hx
尚未映射,ハーフ,其他 (other),censored,censored:j1,,,,,https://www.javbus.com/genre/j1
尚未映射,ハイビジョン(HD),其他 (other),censored,censored:jj,,,,,https://www.javbus.com/genre/jj
尚未映射,パンストモノ,其他 (other),censored,censored:in,,,,,https://www.javbus.com/genre/in
尚未映射,パンチラモノ,其他 (other),censored,censored:i1,,,,,https://www.javbus.com/genre/i1
尚未映射,フェラモノ,其他 (other),censored,censored:io,,,,,https://www.javbus.com/genre/io
尚未映射,プレステージ20周年特別企画,其他 (other),censored,censored:jc,,,,,https://www.javbus.com/genre/jc
尚未映射,ホテヘル,其他 (other),censored,censored:hc,,,,,https://www.javbus.com/genre/hc
尚未映射,マジックミラー号,其他 (other),censored,censored:h3,,,,,https://www.javbus.com/genre/h3
尚未映射,ミディアムヘアー,其他 (other),censored,censored:k9,,,,,https://www.javbus.com/genre/k9
尚未映射,メガネ,其他 (other),censored,censored:hv,,,,,https://www.javbus.com/genre/hv
尚未映射,ローション付き,其他 (other),censored,censored:gf,,,,,https://www.javbus.com/genre/gf
尚未映射,ロリータ,其他 (other),censored,censored:he,,,,,https://www.javbus.com/genre/he
尚未映射,ロングヘアー,其他 (other),censored,censored:iv | censored:k5,,,,,https://www.javbus.com/genre/iv | https://www.javbus.com/genre/k5
尚未映射,按摩棒,玩法 (practice),censored,censored:6,,,,,https://www.javbus.com/genre/6
尚未映射,綁縛,玩法 (practice),uncensored,uncensored:gre134,,,,,https://www.javbus.com/uncensored/genre/gre134
尚未映射,暴露,玩法 (practice),uncensored,uncensored:we,,,,,https://www.javbus.com/uncensored/genre/we
尚未映射,鞭打,玩法 (practice),uncensored,uncensored:15z,,,,,https://www.javbus.com/uncensored/genre/15z
尚未映射,便利店,玩法 (practice),uncensored,uncensored:rk,,,,,https://www.javbus.com/uncensored/genre/rk
尚未映射,變態遊戲,玩法 (practice),uncensored,uncensored:wo,,,,,https://www.javbus.com/uncensored/genre/wo
尚未映射,踩踏,玩法 (practice),uncensored,uncensored:gre141,,,,,https://www.javbus.com/uncensored/genre/gre141
尚未映射,插兩根,玩法 (practice),uncensored,uncensored:11l,,,,,https://www.javbus.com/uncensored/genre/11l
尚未映射,插入異物,玩法 (practice),censored,censored:3h,,,,,https://www.javbus.com/genre/3h
尚未映射,車震,玩法 (practice),uncensored,uncensored:2g,,,,,https://www.javbus.com/uncensored/genre/2g
尚未映射,扯破連褲襪,玩法 (practice),uncensored,uncensored:117,,,,,https://www.javbus.com/uncensored/genre/117
