canonicalId,sourceId,idSource,idStatus,ja,zh-CN,en,sources,note
bondage,3p,,legacy-unscoped,拘束,拘束,Tied Up,avsox;jav321;javbus;javlib,
bondage,uncensored?c2=14,javdb,provider-scoped-legacy-filter,Tied up,捆绑,Tied up,javdb,
sm,tags?c6=60,javdb,provider-scoped-legacy-filter,SM,SM,SM,avsox;jav321;javbus;javdb;javlib,
voyeurism,2v,,legacy-unscoped,盗撮・のぞき,偷窥,Voyeur,jav321;javbus,
voyeurism,tags?c1=145,javdb,provider-scoped-legacy-filter,Voyeur,偷窥,Voyeur,javdb,
deep_throat,3f,javbus,verified-public-page,深喉,深喉,Deep Throat,javbus,Saved JAVBus YST-303 page exposes /genre/3f = 深喉.
impregnation,7i,javbus,verified-public-page,孕ませ,受孕题材,Impregnation,javbus,Saved JAVBus YST-303 page exposes /genre/7i = 孕ませ.
creampie,4,javbus,verified-public-page,中出,内射,Creampie,javbus,Saved JAVBus YST-303 page exposes /genre/4 = 中出.
fetish,1y,javbus,verified-public-page,其他戀物癖,其他恋物癖,Other Fetish,javbus,Saved JAVBus YST-303 page exposes /genre/1y = 其他戀物癖.
hot_spring,6j,javbus,verified-public-doc,温泉,温泉,Hot Spring,javbus,JAVOneStop public documentation records JAVBus 温泉 = genre/6j.
