sourceId,ja,zh-CN,en,sourceGroup,canonicalId,idStatus
e,巨乳,巨乳,Big Tits,censored,big_bust,verified-public-api
3f,深喉,深喉,Deep Throat,censored,deep_throat,verified-public-page
7i,孕ませ,受孕题材,Impregnation,censored,impregnation,verified-public-page
4,中出,内射,Creampie,censored,creampie,verified-public-page
2t,花癡,花痴,,censored,,verified-public-page
1y,其他戀物癖,其他恋物癖,Other Fetish,censored,fetish,verified-public-page
4o,高畫質,高清,High Definition,censored,,verified-public-page
f,單體作品,单体作品,Solo,censored,,verified-public-page
6j,温泉,温泉,Hot Spring,censored,hot_spring,verified-public-doc
